cell,route,tiles,scored_px,macro_iou_present_classes,macro_f1_present_classes,overall_accuracy,n_classes_present,iou_unknown,iou_asfalt,iou_fliser,iou_grus,iou_ubefestet,iou_green_roof,iou_drivhus,iou_betonflade,iou_brosten,iou_unknown2,iou_solceller
convnext_upernet_10ch,82-11,1441,1271017403,0.6829511379530199,0.7698874984514608,0.9924520592893881,2,,0.0,0.0,0.373001322505343,0.9929009534006967,,,,,,
convnext_upernet_10ch,82-13,1043,863989206,0.4562861107419267,0.5328481847762734,0.967459144391209,4,,0.6438046180618672,0.0,0.12441961217168095,0.9848824297514476,0.0,0.0,0.07203778298271113,0.0,,0.0
convnext_upernet_10ch,82-16,378,306829357,0.6220554024152001,0.6980956355855409,0.9952169244352977,2,,0.0,0.0,0.24890109860530368,0.9952097062250964,,,,0.0,,
convnext_upernet_10ch,82-19,591,433222749,0.4230494931376234,0.4996657970536399,0.9550760479570292,8,,0.6935420411390787,0.1389351924155182,0.33686975618122755,0.9757643061844349,0.0,0.31969321646341464,0.0,0.0,,0.919591432717313
convnext_upernet_10ch,82-20,608,316377560,0.4041623115447416,0.5131899098467156,0.8697974628794786,8,,0.7239532718567122,0.46835750980002416,0.4746779070276244,0.8946552889476705,0.0,0.3820564056241389,0.22963296337670477,0.05990122754033384,,6.391818472355386e-05
convnext_upernet_10ch,82-21,313,194724135,0.66582576685867,0.7775067890716167,0.9649414285496762,8,,0.8956168891151831,0.7715281351469255,0.7945352513401076,0.9754374820373635,0.0,0.6545310840516709,0.496984468200881,0.40731392345621037,,0.33065890152101857
convnext_upernet_10ch,82-22,1360,1014086946,0.2841326687846551,0.36329935896045623,0.9258648380234648,7,,0.43647033930681023,0.2730648274900281,0.2786842592188057,0.9502845567851019,0.0,0.050424698691839805,0.0,0.0,,0.0
convnext_upernet_10ch,82-24,1529,642911577,0.22219229103913332,0.2779714028188667,0.8077289919450307,8,,0.5408981954736611,0.17688093747802405,0.09354801278491796,0.917390725803521,0.00011145746818967904,0.0,0.0,0.04870899930475269,,0.0
convnext_upernet_10ch,83-25,3630,2887492462,0.3904823348380815,0.5051374680795309,0.9944089852311448,6,,0.4941142905583088,0.09103968354595936,0.2827437701077598,0.9960173822931586,0.0,0.305530033306535,0.0,0.17344884921676731,,0.0
convnext_upernet_10ch,83-26,1228,946025258,0.5030589436739635,0.5830347213034083,0.9942669797089075,3,,0.43735602993146666,0.0,0.07712641588651288,0.9946943852039111,,0.0,0.0,,,0.0
