,asfalt,fliser,grus,ubefestet,green_roof,drivhus,betonflade,brosten,solceller
asfalt,0.000000,1.047395,0.366437,1.102367,1.549997,0.641931,0.718511,0.867472,1.609937
fliser,1.047395,0.000000,1.091366,1.538823,1.784112,1.210816,1.534044,1.518935,1.856052
grus,0.366437,1.091366,0.000000,0.722097,1.429690,0.648607,1.000605,1.115024,1.719202
ubefestet,1.102367,1.538823,0.722097,0.000000,1.271683,0.986619,1.565683,1.305836,1.766286
green_roof,1.549997,1.784112,1.429690,1.271683,0.000000,1.585977,1.778111,1.167752,1.841123
drivhus,0.641931,1.210816,0.648607,0.986619,1.585977,0.000000,1.203651,1.344928,1.607753
betonflade,0.718511,1.534044,1.000605,1.565683,1.778111,1.203651,0.000000,1.231724,1.592035
brosten,0.867472,1.518935,1.115024,1.305836,1.167752,1.344928,1.231724,0.000000,1.620697
solceller,1.609937,1.856052,1.719202,1.766286,1.841123,1.607753,1.592035,1.620697,0.000000
