filename,ndsm_mean,ndsm_std,ndsm_min,ndsm_max
O2023_84_40_1_0210_00112921_6730_5000.tif,0.8722307877175808,2.5108045145117743,0.0,15.860193252563477
O2021_83_31_1_0042_00092144_7000_2000.tif,0.000818830337524414,0.005576421002859429,0.0,0.11237525939941406
O2023_85_45_1_0028_00002923_3000_6000.tif,0.014096608516693115,0.134442985845235,0.0,4.596446990966797
O2021_84_40_1_0044_00082852_4000_1000.tif,5.8060862789649965,4.839917430459711,0.0,20.761661529541016
O2021_82_11_1_0023_00003031_3000_5000.tif,10.597220064743041,4.924618433150471,0.0,20.297714233398438
O2021_82_21_1_0004_00002040_16000_1000.tif,2.29043109576416,3.137708241845349,0.0,15.065017700195312
O2021_82_16_1_0028_00005676_10cm_4000_1000.tif,1.1037722362685203,2.7657392228896898,0.0,13.796013832092285
O2021_82_22_1_0032_00000909_1000_4000.tif,2.9595577988128663,3.6620414347926387,0.0,18.1871337890625
O2021_84_40_1_0039_00062707_0_2000.tif,1.1463303338661195,2.050298548891781,0.0,13.182106971740723
O2021_83_25_1_0027_00001529_0_3000.tif,0.0011523844871520997,0.0101785990816194,0.0,0.28137052059173584
O2021_83_26_1_0014_00001457_5000_0.tif,2.7149737953796387,4.538199193889574,0.0,17.12957000732422
O2021_83_25_1_0026_00001215_9990_4000.tif,0.6851129077339172,1.66791394004047,0.0,10.153589248657227
O2023_84_40_1_0153_00102521_6000_3000.tif,1.0607643127441407e-06,0.0001944393457511075,0.0,0.04327583312988281
O2023_84_40_1_0211_00112304_4000_4000.tif,6.510994349034309,8.475757056942276,0.0,24.151174545288086
O2021_82_13_1_0025_00144232_8000_2000.tif,6.809796142578125e-05,0.0020003781722610025,0.0,0.22647476196289062
O2021_82_22_1_0031_00000385_4000_4000.tif,10.575485036010742,9.9604931963391,0.0,35.80457305908203
O2023_82_24_1_0012_00000542_2000_8000.tif,4.88069149374342,7.500404909319852,0.0,24.55144500732422
O2021_82_13_1_0025_00144232_8000_0.tif,0.00029030276489257814,0.012807848129981907,0.0,1.9005393981933594
O2021_82_11_1_0027_00002539_8000_3000.tif,9.071312825744629,7.372495913328392,0.0,27.157306671142578
O2021_82_11_1_0025_00003595_2000_2000.tif,15.606827966506957,5.887327079527103,0.0,27.36425018310547
O2021_82_22_1_0031_00000390_7000_4000.tif,1.8289602386779784,3.9840623150218923,0.0,18.276988983154297
O2021_84_40_1_0040_00092534_0_0.tif,2.790285790878296,5.042917676290104,0.0,24.010330200195312
O2021_84_40_1_0047_00073804_4000_3000.tif,0.33728573388528826,1.2795952955939756,0.0,12.450870513916016
O2021_84_40_1_0047_00073821_7000_4000.tif,7.337979851301432,8.72023932001392,0.0,26.440549850463867
O2021_83_26_1_0014_00001452_2000_3000.tif,0.00058426171875,0.004481678276086233,0.0,0.21842575073242188
O2023_85_45_1_0025_00001590_2000_7000.tif,0.2133290534362793,0.8727001555889263,0.0,7.854484558105469
