cell,class,index,support_pixels,predicted_pixels,present,in_macro,iou,precision,recall,f1
segformer_b1_6ch_unw,grus,3,206716845,137526078,True,True,0.1490791455922721,0.32474832155105887,0.2160509125417428,0.259475852754132
segformer_b1_6ch_unw,ubefestet,4,10667088919,11074127329,True,True,0.9464009130943639,0.9545906451984593,0.991016239976278,0.9724624631312853
segformer_b1_6ch_unw,green_roof,5,1430413,0,True,True,0.0,,0.0,0.0
segformer_b1_6ch_unw,drivhus,6,531496,843,True,True,0.000407801218517558,0.25741399762752076,0.00040828152987040355,0.000815269968948358
segformer_b1_6ch_unw,betonflade,7,89260373,48457803,True,True,0.011673591137163578,0.03279378968130272,0.017803140930186343,0.02307778168656547
segformer_b1_6ch_unw,brosten,8,120321684,15349633,True,True,0.01589899059393145,0.13832767206877195,0.017646686194983774,0.03130033741767245
segformer_b1_6ch_unw,unknown2,9,0,0,False,False,,,,
segformer_b1_6ch_unw,solceller,10,58625774,47838855,True,True,0.5402097559900827,0.7805614912815116,0.6369411515146904,0.7014755670636865
segformer_b1_rgb,asfalt,1,818756115,856229758,True,True,0.4852347695774886,0.6391129774305274,0.6683645349018248,0.6534115407431857
segformer_b1_rgb,fliser,2,231902162,259712595,True,True,0.18755653149566875,0.29895773826448424,0.334809685819143,0.3158696475012446
segformer_b1_rgb,grus,3,206716845,173950897,True,True,0.2429371368774038,0.4277245204432605,0.3599274360055176,0.390908163686746
segformer_b1_rgb,ubefestet,4,10667088919,10745298625,True,True,0.9581432212315895,0.975062790030184,0.9822118233530401,0.9786242506091641
segformer_b1_rgb,green_roof,5,1430413,271274,True,True,0.0065068262232017065,0.040553093919800644,0.007690785808014888,0.012929522291702293
segformer_b1_rgb,drivhus,6,531496,1864485,True,True,0.09383198954368674,0.11023633872088003,0.38670846064692865,0.1715656342850799
segformer_b1_rgb,betonflade,7,89260373,27646248,True,True,0.0580190104297752,0.23188879011719782,0.07182196068125325,0.10967479763186382
segformer_b1_rgb,brosten,8,120321684,86461853,True,True,0.0789196164058176,0.17493926483393782,0.12570945233778477,0.14629378353268035
segformer_b1_rgb,unknown2,9,0,0,False,False,,,,
segformer_b1_rgb,solceller,10,58625774,43198046,True,True,0.5668786648958822,0.8527859338822872,0.6283701431387498,0.7235769783533951
segformer_b1_rgb_unw,asfalt,1,818756115,927074388,True,True,0.45185114123135933,0.5860852441109612,0.663622059176926,0.62244830533815
segformer_b1_rgb_unw,fliser,2,231902162,269242011,True,True,0.20519183536730828,0.3169011057490579,0.3679271045347132,0.3405131520904664
segformer_b1_rgb_unw,grus,3,206716845,171908095,True,True,0.2453027452571398,0.43385075030934406,0.36079525110786204,0.393964834963064
