class,instances,median_px,p90_px,max_px,median_m2
asfalt,7991,22706.0,157281.0,949748,227.06000000000003
fliser,10510,5182.0,25434.100000000006,948144,51.82000000000001
grus,4492,3343.5,50258.0,471283,33.43500000000001
ubefestet,23788,8854.5,317147.8999999997,1000000,88.54500000000002
green_roof,179,4092.0,19887.80000000004,53974,40.92000000000001
drivhus,402,998.5,2556.0,6231,9.985000000000001
betonflade,802,28405.5,308086.79999999993,1000000,284.05500000000006
brosten,7166,2790.5,38593.0,663733,27.905000000000005
solceller,2332,15313.0,43686.200000000004,592695,153.13000000000002
