index,band,folder,src_band,config_mean,config_std,tensor_min,tensor_max,tensor_mean,tensor_std,max_abs_err_h255,max_abs_err_h1,implied_divisor,verdict
0,rgb_R,rgb,0,0.485,0.229,-2.1179039478302,2.248908281326294,-0.2916373312473297,0.8806756138801575,0.0,1109.1702811717987,255.00000236972113,/255 APPLIED
1,rgb_G,rgb,1,0.456,0.224,-2.0357141494750977,2.4285714626312256,-0.06999944895505905,0.8115524053573608,0.0,1133.9286062717438,254.99999126446903,/255 APPLIED
2,rgb_B,rgb,2,0.406,0.225,-1.804444432258606,2.640000104904175,0.0017174576641991735,0.8366539478302002,0.0,1128.8889305591583,254.99998493175008,/255 APPLIED
3,cir_b0_NIR,cir,0,0.40779021,0.15176421,-2.6869986057281494,3.902170419692993,0.6995542049407959,1.5363328456878662,0.0,1673.648854970932,254.99999624072962,/255 APPLIED
4,DSM,DSM,0,0.5,1.0,-0.5000694394111633,-0.3889712691307068,-0.453110933303833,0.037011031061410904,0.0,28.20129770040512,254.99999963315292,/255 APPLIED
5,DTM,DTM,0,0.5,1.0,-0.5000694394111633,-0.3889712691307068,-0.46078118681907654,0.03916959837079048,0.0,28.20129770040512,255.0,/255 APPLIED
