cell,route,tiles,scored_px,macro_iou_present_classes,macro_f1_present_classes,overall_accuracy,n_classes_present,iou_unknown,iou_asfalt,iou_fliser,iou_grus,iou_ubefestet,iou_green_roof,iou_drivhus,iou_betonflade,iou_brosten,iou_unknown2,iou_solceller
convnext_upernet_rgb,82-11,1441,1271017403,0.6070434674865539,0.6797894060579135,0.9908002959106611,2,,0.0,0.0,0.22225421596151476,0.9918327190115931,,,,0.0,,
convnext_upernet_rgb,82-13,1043,863989206,0.4501536171654981,0.528011320241011,0.9638281314361699,4,,0.6256250392002504,0.0,0.13836950761058173,0.9783025001212148,,,0.05831742172994552,0.0,,
convnext_upernet_rgb,82-16,378,306829357,0.6155270273952587,0.6887702755663953,0.9973469455206009,2,,0.0,0.0,0.23370607532133647,0.9973479794691809,,,,0.0,,
convnext_upernet_rgb,82-19,591,433222749,0.32875738889177136,0.43070394200164647,0.90483422651473,8,,0.42382299468836565,0.20600584625125937,0.14072125127862872,0.9031970130135094,0.0,0.35161740802637304,0.034069819973543684,0.0,,0.5706247779024913
convnext_upernet_rgb,82-20,608,316377560,0.4140437894257929,0.5041990766339687,0.8875941296215825,8,,0.7740183524559936,0.46833784330955325,0.5318701759885289,0.9214075726480903,0.0,0.5204831358249772,0.04457646708233835,0.04329721995704629,,0.008359548139815294
convnext_upernet_rgb,82-21,313,194724135,0.4602013936336439,0.570630760192443,0.9248444729257624,8,,0.7829643309442121,0.5850303346293516,0.4535534136504589,0.9562843428821406,,0.5425153032832498,0.145809886911815,0.10307502153638713,,0.11237851523153568
convnext_upernet_rgb,82-22,1360,1014086946,0.3209276937668161,0.41287597981400515,0.93143913421404,7,,0.5245377702526091,0.31213729507715654,0.24693136750704425,0.9442198043491267,0.0,0.2186676191817761,0.0,0.0,,0.0
convnext_upernet_rgb,82-24,1529,642911577,0.2369291162542489,0.3004456205650375,0.8125969864126432,8,,0.554870515722957,0.15644655927935672,0.044460856349681034,0.9018097216520656,0.002158969823173407,0.0,0.0,0.23568630720675754,,0.0
convnext_upernet_rgb,83-25,3630,2887492462,0.3023514412055102,0.40185651235105185,0.974435021745868,6,,0.13721847645429994,0.1372412935838737,0.16142990265368237,0.9758103866961477,,0.25735588241080154,0.0,0.14505270543425602,,0.0
convnext_upernet_rgb,83-26,1228,946025258,0.5202117300270062,0.5852112361838618,0.9941827557420249,3,,0.5332874744438013,0.0,0.03224479683813439,0.9951029187990829,,0.0,0.0,,,0.0
convnext_upernet_rgb,83-31,1020,836776918,0.9994435601771702,0.999721702660724,0.9994435601771702,1,,0.0,0.0,0.0,0.9994435601771702,,,,,,
convnext_upernet_rgb,83-34,10,1067196,0.5338446683537967,0.6960379243447763,0.6914578015659729,2,,0.0,0.0,0.5432546926410289,0.5244346440665645,,,,,,
convnext_upernet_rgb,84-40,5269,2226168062,0.2447280035378562,0.325966754455813,0.822774658510935,9,,0.6100415046958091,0.20539422528845408,0.09448911888229605,0.8839042678803001,0.010001823424932298,0.10524897154800253,0.19554922695844315,0.05117777791562533,,0.046745115246843
convnext_upernet_rgb,84-41,343,181155748,0.5253276871529577,0.5756015346942279,0.9764066442981428,5,,0.8715019111504102,0.0,0.06826687117063658,0.9759923155985601,0.0,0.0,0.0,0.0,,0.7108773378451818
convnext_upernet_rgb,85-45,401,50907628,0.7875871905061437,0.8794927479406948,0.9071570963785623,3,,0.0,0.0,0.7029088286577898,0.7874126293538996,,,0.0,,,0.872440113506742
convnext_upernet_rgb,85-48,150,21881576,0.9681690412827849,0.9836977409221298,0.977204841186942,3,,,,0.9991916042455681,0.9574545323964005,,,,,,0.9478609872063863
