cell,fold,macro_iou,macro_f1,overall_accuracy,source_file
convnext_upernet_rgb_ndsm,2,0.37854120357659976,0.478073416172148,0.9298416336307844,C:\thesis\logs_and_models\spatial_matrix\convnext_upernet\oof_convnext_upernet_rgb_ndsm\pooled_oof_metrics.json
convnext_upernet_rgb_unw,0,0.3170191362704231,0.3921993041935293,0.8691032167709334,C:\thesis\logs_and_models\spatial_matrix\convnext_upernet\oof_convnext_upernet_rgb_unw\pooled_oof_metrics.json
convnext_upernet_rgb_unw,1,0.3093707867155188,0.4061374773712626,0.9693629984757601,C:\thesis\logs_and_models\spatial_matrix\convnext_upernet\oof_convnext_upernet_rgb_unw\pooled_oof_metrics.json
convnext_upernet_rgb_unw,2,0.3514947347258936,0.4509821439786992,0.9270549850068064,C:\thesis\logs_and_models\spatial_matrix\convnext_upernet\oof_convnext_upernet_rgb_unw\pooled_oof_metrics.json
segformer_b1_10ch,0,0.29062374931631463,0.36363515121735457,0.8539199427197877,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_10ch\pooled_oof_metrics.json
segformer_b1_10ch,1,0.294750860557669,0.37026203842517974,0.9827622617619126,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_10ch\pooled_oof_metrics.json
segformer_b1_10ch,2,0.2812892355215984,0.3518764621502986,0.9096909053757931,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_10ch\pooled_oof_metrics.json
segformer_b1_10ch_unw,0,0.3087921863980028,0.37465211943049226,0.8628588481977526,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_10ch_unw\pooled_oof_metrics.json
segformer_b1_10ch_unw,1,0.26089197266371117,0.31974296688416765,0.980004552264855,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_10ch_unw\pooled_oof_metrics.json
segformer_b1_10ch_unw,2,0.23402672882816777,0.3054210696685049,0.8966466261631268,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_10ch_unw\pooled_oof_metrics.json
segformer_b1_6ch,0,0.28827083829288763,0.35386732122785075,0.83351678654312,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch\pooled_oof_metrics.json
segformer_b1_6ch,1,0.27898656904095676,0.35228220925982456,0.9818094876506644,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch\pooled_oof_metrics.json
segformer_b1_6ch,2,0.2625834652705254,0.3519965120149107,0.8898380524873296,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch\pooled_oof_metrics.json
segformer_b1_6ch_corrected,0,0.281567275114536,0.3458264137633379,0.8354086472017521,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch_corrected\pooled_oof_metrics.json
segformer_b1_6ch_corrected,1,0.27364839922149553,0.3401616510843407,0.9819445033254782,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch_corrected\pooled_oof_metrics.json
segformer_b1_6ch_corrected,2,0.24618871457892735,0.321373975379233,0.8901472188239337,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch_corrected\pooled_oof_metrics.json
segformer_b1_6ch_unw,0,0.2802142393346005,0.338087179961257,0.8365373955889921,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch_unw\pooled_oof_metrics.json
segformer_b1_6ch_unw,1,0.26052586683272433,0.3144593223310185,0.9821008723538648,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch_unw\pooled_oof_metrics.json
segformer_b1_6ch_unw,2,0.2438278710187966,0.31667508869837074,0.8959632604934007,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_6ch_unw\pooled_oof_metrics.json
segformer_b1_ortorgb,0,0.32691261845046654,0.3988947390518745,0.8668644990101025,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_ortorgb\pooled_oof_metrics.json
segformer_b1_ortorgb,1,0.31554237323355355,0.3977466698419347,0.9781572321164199,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_ortorgb\pooled_oof_metrics.json
segformer_b1_ortorgb,2,0.3098305466299356,0.402833186583723,0.9215520580058405,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_ortorgb\pooled_oof_metrics.json
segformer_b1_rgb,0,0.3197012509456252,0.40391592239076857,0.8639625306700711,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb\pooled_oof_metrics.json
segformer_b1_rgb,1,0.2735708488822391,0.35815179632327576,0.9684467096854377,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb\pooled_oof_metrics.json
segformer_b1_rgb,2,0.2803988270926925,0.3671604617504608,0.9036053657065226,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb\pooled_oof_metrics.json
segformer_b1_rgb_dsm_dtm_corrected,0,0.30271764994826,0.37505358150631996,0.8606838870198056,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
segformer_b1_rgb_dsm_dtm_corrected,1,0.28971609080289473,0.3660578978510544,0.9820933296536761,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
segformer_b1_rgb_dsm_dtm_corrected,2,0.2857175118555842,0.36774381349759794,0.9091301173593822,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
segformer_b1_rgb_unw,0,0.3090244780258475,0.37957705948680975,0.8635015254971112,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb_unw\pooled_oof_metrics.json
segformer_b1_rgb_unw,1,0.22589284954359978,0.2873943479847081,0.9538369771625447,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb_unw\pooled_oof_metrics.json
segformer_b1_rgb_unw,2,0.2672917890626756,0.3441090138921108,0.9041537038217244,C:\thesis\logs_and_models\spatial_matrix\segformer_b1\oof_segformer_b1_rgb_unw\pooled_oof_metrics.json
swin_upernet_10ch,0,0.31161941746282024,0.390920198577595,0.8574366347616466,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_10ch\pooled_oof_metrics.json
swin_upernet_10ch,1,0.3173370277708013,0.4053023945809397,0.9789853763297706,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_10ch\pooled_oof_metrics.json
swin_upernet_10ch,2,0.30220568533549774,0.3785722287801605,0.9214923103520141,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_10ch\pooled_oof_metrics.json
swin_upernet_10ch_unw,0,0.28911623249730767,0.359020144629559,0.8452374536028858,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_10ch_unw\pooled_oof_metrics.json
swin_upernet_10ch_unw,1,0.3072123528472333,0.3737752325849531,0.9851888831310772,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_10ch_unw\pooled_oof_metrics.json
swin_upernet_10ch_unw,2,0.29705561148405046,0.36517743724821466,0.9131763080136118,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_10ch_unw\pooled_oof_metrics.json
swin_upernet_6ch,0,0.29236300088954087,0.3611785185694088,0.848314404552215,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch\pooled_oof_metrics.json
swin_upernet_6ch,1,0.26806273097004135,0.3443743297808068,0.9748466164417194,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch\pooled_oof_metrics.json
swin_upernet_6ch,2,0.2922029143262632,0.3636888925221629,0.9143053983400447,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch\pooled_oof_metrics.json
swin_upernet_6ch_corrected,0,0.2833464384178406,0.3503116223585171,0.8406995184075432,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch_corrected\pooled_oof_metrics.json
swin_upernet_6ch_corrected,1,0.30789793345511296,0.38358909151954274,0.9853340655455534,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch_corrected\pooled_oof_metrics.json
swin_upernet_6ch_corrected,2,0.28875462241723293,0.3619334473733515,0.9123678445935373,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch_corrected\pooled_oof_metrics.json
swin_upernet_6ch_unw,0,0.29653853435832495,0.3686215659560743,0.8578372877570625,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch_unw\pooled_oof_metrics.json
swin_upernet_6ch_unw,1,0.2823264987313488,0.35740598575210336,0.9800535037375254,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch_unw\pooled_oof_metrics.json
swin_upernet_6ch_unw,2,0.27862014298095317,0.3433098595603472,0.9112937652075004,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_6ch_unw\pooled_oof_metrics.json
swin_upernet_ortorgb,0,0.3270828247513216,0.4162200238419457,0.8618754600088446,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_ortorgb\pooled_oof_metrics.json
swin_upernet_ortorgb,1,0.34752446921165425,0.42577125277620154,0.9857532626065605,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_ortorgb\pooled_oof_metrics.json
swin_upernet_ortorgb,2,0.3513436049688013,0.4418542392561098,0.9337443797040473,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_ortorgb\pooled_oof_metrics.json
swin_upernet_rgb,0,0.31772575210362375,0.39286954658153467,0.8677744175903029,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb\pooled_oof_metrics.json
swin_upernet_rgb,1,0.26709667580970203,0.3507122053390854,0.9453853336926649,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb\pooled_oof_metrics.json
swin_upernet_rgb,2,0.3145775518428368,0.4109911534624618,0.9194226081340006,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb\pooled_oof_metrics.json
swin_upernet_rgb_dsm_dtm_corrected,0,0.28714877127318084,0.3590949097601907,0.8555456230972618,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
swin_upernet_rgb_dsm_dtm_corrected,1,0.26950113813053356,0.359645067351005,0.946637336838656,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
swin_upernet_rgb_dsm_dtm_corrected,2,0.31705076216038874,0.3974161502480891,0.9224054635417929,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb_dsm_dtm_corrected\pooled_oof_metrics.json
swin_upernet_rgb_unw,0,0.33463612295152806,0.41145906657664,0.8743960958691902,C:\thesis\logs_and_models\spatial_matrix\swin_upernet\oof_swin_upernet_rgb_unw\pooled_oof_metrics.json
