class,band,pixels,mean,std
unknown,rgb_R,7119366219,104.75144751336467,52.5621713962864
unknown,rgb_G,7119366219,107.8876266307435,48.79698713126968
unknown,rgb_B,7119366219,104.15255436896918,46.89629055799161
unknown,cir_b0_NIR,7119366219,111.88486574453601,63.12494799172225
unknown,cir_b1_unused,7119366219,104.72382077736744,52.21665634960767
unknown,cir_b2_unused,7119366219,107.94659802539931,48.32805645990323
unknown,OrtoRGB_R,7119366219,122.8481801992268,57.04102826709913
unknown,OrtoRGB_G,7119366219,122.86263873891048,50.95779863747676
unknown,OrtoRGB_B,7119366219,120.99653689665041,45.91812866447446
unknown,OrtoCIR_b0_NIR,7119366219,113.30025687613809,58.20069931417115
unknown,OrtoCIR_b1_unused,7119366219,122.38450283617865,57.34749430244126
unknown,OrtoCIR_b2_unused,7119366219,122.4994436661385,51.26899660232222
unknown,DSM,7119296019,20.361005728262654,21.781441272738775
unknown,DTM,7119292176,15.927661272140199,20.30664396099226
asfalt,rgb_R,818756115,123.6065027752495,51.18964417785393
asfalt,rgb_G,818756115,126.49865184090869,47.79512867812936
asfalt,rgb_B,818756115,130.6365997071057,41.75148861789511
asfalt,cir_b0_NIR,818756115,96.40627886730348,50.614841692530234
asfalt,cir_b1_unused,818756115,123.5490618656326,51.01327114747513
asfalt,cir_b2_unused,818756115,126.57387169438118,47.58185158706108
asfalt,OrtoRGB_R,818756115,150.16562335048943,53.569185440457744
asfalt,OrtoRGB_G,818756115,150.46395553943435,50.13040598230907
asfalt,OrtoRGB_B,818756115,151.25330280433997,44.0384303287549
asfalt,OrtoCIR_b0_NIR,818756115,114.41705477582906,49.10885301111865
asfalt,OrtoCIR_b1_unused,818756115,148.19085951620647,55.83271058235815
asfalt,OrtoCIR_b2_unused,818756115,148.60468885414065,52.50057098218905
asfalt,DSM,818756115,22.10536999943852,27.52171642259799
asfalt,DTM,818755274,19.625238208032755,26.985994742195917
fliser,rgb_R,231902162,133.86413226712392,57.06862420943854
fliser,rgb_G,231902162,134.5582576845489,52.96341279306209
fliser,rgb_B,231902162,135.38384213080343,45.798141071137955
fliser,cir_b0_NIR,231902162,96.0372914246483,55.85722270335162
fliser,cir_b1_unused,231902162,133.83967537137494,56.90663145556867
fliser,cir_b2_unused,231902162,134.56152408790393,52.71907253417274
fliser,OrtoRGB_R,231902162,155.02054554368493,58.25202756280699
fliser,OrtoRGB_G,231902162,154.88556534889054,53.792229376070516
fliser,OrtoRGB_B,231902162,153.2636875718304,45.83845264760722
fliser,OrtoCIR_b0_NIR,231902162,117.29325852943104,52.43676188713522
fliser,OrtoCIR_b1_unused,231902162,151.47158689706396,62.565788919160575
fliser,OrtoCIR_b2_unused,231902162,151.2553480463024,58.40121522157258
fliser,DSM,231902162,26.864405198936623,31.327513533422522
fliser,DTM,231901652,23.256632648903917,31.19459710264354
grus,rgb_R,206716845,123.22458823324243,54.53615959723271
grus,rgb_G,206716845,122.39151754178523,51.42712667907037
grus,rgb_B,206716845,119.68342312886983,46.99166217269971
grus,cir_b0_NIR,206716845,113.7984342301664,52.77974886085165
grus,cir_b1_unused,206716845,123.21894955875511,54.23184874457919
grus,cir_b2_unused,206716845,122.41040933069581,51.02763784248139
grus,OrtoRGB_R,206716845,149.40629904640815,54.101539617717904
grus,OrtoRGB_G,206716845,145.04260283674512,50.627824751815844
grus,OrtoRGB_B,206716845,140.35162482767188,45.57030359735528
grus,OrtoCIR_b0_NIR,206716845,121.34447556995174,47.65507043993483
grus,OrtoCIR_b1_unused,206716845,147.4037509666907,55.54754381289119
grus,OrtoCIR_b2_unused,206716845,142.97525327943157,52.100334511329024
grus,DSM,206716845,25.69703895729912,26.418405110564898
grus,DTM,206716141,22.46734927708525,26.005465030103572
ubefestet,rgb_R,10667088919,93.72288240630161,47.42005550015628
ubefestet,rgb_G,10667088919,97.6305841665029,44.80524681055512
ubefestet,rgb_B,10667088919,87.48213409160202,42.28411299476572
ubefestet,cir_b0_NIR,10667088919,112.88998661725697,63.51630765647577
ubefestet,cir_b1_unused,10667088919,93.69713284415906,47.08439467715408
ubefestet,cir_b2_unused,10667088919,97.67924458659891,44.35238022914942
ubefestet,OrtoRGB_R,10667088919,105.56972055217196,46.883818622404576
ubefestet,OrtoRGB_G,10667088919,106.32155082010149,39.198802452154624
ubefestet,OrtoRGB_B,10667088919,100.85133230002656,32.2089752649194
ubefestet,OrtoCIR_b0_NIR,10667088919,104.99570626359753,51.90193062743987
ubefestet,OrtoCIR_b1_unused,10667088919,105.40462266620017,46.99640808018707
ubefestet,OrtoCIR_b2_unused,10667088919,106.31689145948518,39.368459189975326
ubefestet,DSM,10667088919,22.709994814631077,24.42385455854057
ubefestet,DTM,10667081946,19.582538320842666,21.97409253030646
green_roof,rgb_R,1430413,104.82017850788549,46.28386953612069
green_roof,rgb_G,1430413,95.65914180030522,36.3659618852879
green_roof,rgb_B,1430413,86.40902103098895,29.634695369733258
green_roof,cir_b0_NIR,1430413,130.29475193528023,58.24650502984671
green_roof,cir_b1_unused,1430413,104.83376129831035,45.72857777819998
green_roof,cir_b2_unused,1430413,95.70862401278512,35.607125364934404
green_roof,OrtoRGB_R,1430413,113.00178969290687,42.3061068122549
green_roof,OrtoRGB_G,1430413,102.05175568175065,41.191085370723584
green_roof,OrtoRGB_B,1430413,100.82970652531822,37.39019024839081
green_roof,OrtoCIR_b0_NIR,1430413,136.45332711601475,45.67958049079723
green_roof,OrtoCIR_b1_unused,1430413,115.90889204726187,38.23827206553999
green_roof,OrtoCIR_b2_unused,1430413,104.76199740913988,37.757790694809444
