filename,route,reason,dsm_dtm_offset_m,dsm_offset_from_rgb_m,dtm_offset_from_rgb_m,ndsm_value
O2021_82_20_1_0024_00005079_7000_4000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005078_10000_4000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005079_8000_4000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,738.3935265155025,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005079_9000_5000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_83_31_1_0043_00091125_8000_6000.tif,83-31,DSM/DTM geotransform mismatch -- no co-located terrain model,52883.10098698827,0.0,52883.10098698827,0.0
O2021_82_20_1_0024_00005078_11000_5000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005079_6000_5000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_22_1_0032_00000911_0_2000.tif,82-22,DSM/DTM geotransform mismatch -- no co-located terrain model,728.0109889280518,0.0,728.0109889280518,0.0
O2021_82_20_1_0024_00005077_1000_3000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0005_00001869_11000_0.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,721.1102550927978,4.422938524830713e+59,0.0
O2021_82_20_1_0024_00005078_4000_4000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0005_00001869_8000_0.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0005_00001868_8000_4000.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,345.94363702776786,345.94363702776786,0.0,0.0
O2021_82_20_1_0023_00004975_9000_4000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,856.4403073186128,0.0,856.4403073186128,0.0
O2021_82_20_1_0024_00005079_4000_10000.tif,82-20,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_21_1_0005_00001869_7000_0.tif,82-21,DSM/DTM geotransform mismatch -- no co-located terrain model,4.422938524830713e+59,0.0,4.422938524830713e+59,0.0
O2021_82_11_1_0027_00002535_0_5000.tif,82-11,DSM/DTM geotransform mismatch -- no co-located terrain model,707.1067811865476,0.0,707.1067811865476,0.0
O2021_82_11_1_0026_00002614_10810_3000.tif,82-11,DSM/DTM geotransform mismatch -- no co-located terrain model,348.61009738675097,0.0,348.61009738675097,0.0
