cell,macro_iou,macro_f1,overall_accuracy,evaluated_pixels,iou_unknown,iou_asfalt,iou_fliser,iou_grus,iou_ubefestet,iou_green_roof,iou_drivhus,iou_betonflade,iou_brosten,iou_unknown2,iou_solceller,fold_macro_iou_mean,fold_macro_iou_std,route_median_macro_iou,route_min,route_max,route_spread,route_std,n_routes_scored
convnext_upernet_10ch,0.3446638436049828,0.43476343512911486,0.9374200568295032,12194633781,,0.5847095644868506,0.23945572920376376,0.2519705258840174,0.9664220159837353,0.0024170433641821265,0.19742969481559047,0.10041007847156849,0.0174673630337304,,0.7416925772014069,0.37024384479835276,0.05801603399745782,0.4796725272079451,0.22219229103913332,0.9996046102696154,0.7774123192304822,0.25218614647992244,16
convnext_upernet_10ch_unw,0.33066596576859575,0.4172046488264539,0.935849365216784,12194633781,,0.5709083693793778,0.22326727023452697,0.2694344855937085,0.9612472576637136,0.0006681000364735198,0.11694460676345875,0.08639151638110451,0.02582411355326336,,0.721307972311735,0.35053693106366585,0.04231769275694218,0.4807151018473773,0.22083522131031194,0.9994866003223095,0.7786513790119975,0.258691111798158,16
convnext_upernet_6ch,0.3374343528628417,0.4257676871295344,0.9275252146253854,12194633781,,0.528788615551776,0.20319029885719178,0.20184735996635159,0.9558735169739846,0.0,0.19828028556303656,0.1363251943063053,0.015909946857352336,,0.7966939576895766,0.3231644923478651,0.010391072441357594,0.48423677597105674,0.20432831226588521,0.9996242929349062,0.795295980669021,0.2508122807404825,16
convnext_upernet_6ch_corrected,0.31104006631493875,0.3974893166948475,0.926695979719147,12194633781,,0.5210626862830215,0.24190053752416713,0.20490973106877164,0.9479034855015324,0.00133495942262314,0.20770544974872177,0.008391864862454908,0.021516693639687407,,0.6446351887834688,0.3198580399757904,0.046662588137283786,0.49819303661936093,0.1725856131355636,0.9997070581241821,0.8271214449886186,0.2444486251244309,16
convnext_upernet_6ch_unw,0.32076970125630416,0.40207807076850555,0.9273314288961508,12194633781,,0.5345064153162623,0.20715772104313615,0.21005114738245192,0.9556391474765781,0.0030658389392953633,0.11328542200621912,0.08533596153266608,0.009210403291416088,,0.7686752543187124,0.315049444326832,0.01585342641529731,0.4712642757864582,0.2097793946997584,0.999633870158928,0.7898544754591696,0.2540912825922762,16
convnext_upernet_ortorgb,0.3574001520930216,0.45918204220081116,0.9409307580747266,12194633781,,0.6236640107917016,0.2767681298127754,0.30766878744340825,0.9685825640259071,0.018719160062558853,0.29387840220258793,0.02096745397091073,0.10863038356396504,,0.5977224769633792,0.38930723369881504,0.04936347490863911,0.5429081351374536,0.23893443535117312,0.9996140787430277,0.7606796433918546,0.24430279154860057,16
convnext_upernet_rgb,0.35864188131114566,0.45925813657161263,0.9336311235306625,12194633781,,0.5754756822938513,0.24247727353681545,0.215909024393146,0.9581740302860081,0.008268167687035132,0.2414465089007885,0.15258688082637284,0.08094663730472003,,0.752492726571574,0.3452880735337171,0.02569288082221017,0.490206561830325,0.2369291162542489,0.9994435601771702,0.7625144439229212,0.2335814650821215,16
convnext_upernet_rgb_dsm_dtm_corrected,0.35086823540900053,0.43683929533884314,0.937482046718956,12194633781,,0.628670198392765,0.22111120902181702,0.2050181182710355,0.9652053130671358,0.0,0.19820158300771465,0.05075794836192713,0.08449060503549531,,0.8043591435231147,0.35195603890151267,0.03967582846776149,0.5089011743508159,0.2140293939637209,0.9997085113191423,0.7856791173554214,0.2332173304741483,16
convnext_upernet_rgb_ndsm,0.3625495330327985,0.4638548122329993,0.9336633363881418,12194633781,,0.5768722596493924,0.2622169312329115,0.20119779034751686,0.9584182631770601,0.006061575520343257,0.2315942879775026,0.14524879214187522,0.11293471338824347,,0.7684011838603408,0.351188588883852,0.024493492164784216,0.5073445370547633,0.24527440681684576,0.9994194175418208,0.7541450107249751,0.230077962761846,16
convnext_upernet_rgb_unw,0.33357983040412104,0.42863644520879624,0.9304994793430771,12194633781,,0.5662414559799555,0.25019797211251155,0.20345248353071507,0.9533407707054588,0.012375595977595275,0.10495566302897598,0.12022592991104472,0.09148263085384305,,0.6999459715369895,0.3259615525706119,0.022440629580285847,0.4963064513289061,0.22304281365440437,0.9995431422739125,0.7765003286195081,0.2489355163211988,16
